target_index,flag,submit_success,timestamp
1,OS{init_flag_1},True,2024-09-05 15:16:59
2,OS{init_flag_2},False,2024-09-05 15:16:59
3,OS{init_flag_3},True,2024-09-05 15:16:59
4,OS{init_flag_4},True,2024-09-05 15:16:59
1,OS{auto_flag_7009},False,2024-09-05 15:16:59
2,OS{auto_flag_5807},True,2024-09-05 15:16:59
3,OS{auto_flag_9122},True,2024-09-05 15:16:59
4,OS{auto_flag_2170},True,2024-09-05 15:16:59
1,OS{auto_flag_4118},True,2024-09-05 15:17:59
2,OS{auto_flag_1563},False,2024-09-05 15:17:59
3,OS{auto_flag_1687},False,2024-09-05 15:17:59
4,OS{auto_flag_6331},False,2024-09-05 15:17:59
1,OS{auto_flag_5184},False,2024-09-05 15:18:59
2,OS{auto_flag_6604},True,2024-09-05 15:18:59
3,OS{auto_flag_6134},False,2024-09-05 15:18:59
4,OS{auto_flag_7317},True,2024-09-05 15:18:59
1,OS{auto_flag_1365},True,2024-09-05 15:19:59
2,OS{auto_flag_2176},False,2024-09-05 15:19:59
3,OS{auto_flag_8202},False,2024-09-05 15:19:59
4,OS{auto_flag_2264},False,2024-09-05 15:19:59
1,OS{auto_flag_7074},False,2024-09-05 15:20:59
2,OS{auto_flag_7571},True,2024-09-05 15:20:59
3,OS{auto_flag_3202},False,2024-09-05 15:20:59
4,OS{auto_flag_5199},False,2024-09-05 15:20:59
1,OS{auto_flag_1635},True,2024-09-05 15:21:59
2,OS{auto_flag_6981},False,2024-09-05 15:21:59
3,OS{auto_flag_2685},True,2024-09-05 15:21:59
4,OS{auto_flag_1794},False,2024-09-05 15:21:59
1,OS{auto_flag_1129},False,2024-09-05 15:22:59
2,OS{auto_flag_3262},False,2024-09-05 15:22:59
3,OS{auto_flag_6915},True,2024-09-05 15:22:59
4,OS{auto_flag_5881},True,2024-09-05 15:22:59
1,OS{auto_flag_3928},True,2024-09-05 15:23:59
2,OS{auto_flag_9125},True,2024-09-05 15:23:59
3,OS{auto_flag_8771},False,2024-09-05 15:23:59
4,OS{auto_flag_9263},False,2024-09-05 15:23:59
1,OS{auto_flag_1236},False,2024-09-05 15:24:59
2,OS{auto_flag_7193},False,2024-09-05 15:24:59
3,OS{auto_flag_3295},False,2024-09-05 15:24:59
4,OS{auto_flag_1246},True,2024-09-05 15:24:59
1,OS{auto_flag_6726},False,2024-09-05 15:25:59
2,OS{auto_flag_5694},True,2024-09-05 15:25:59
3,OS{auto_flag_1029},True,2024-09-05 15:25:59
4,OS{auto_flag_4038},False,2024-09-05 15:25:59
1,OS{auto_flag_7854},False,2024-09-05 15:26:59
2,OS{auto_flag_7535},True,2024-09-05 15:26:59
3,OS{auto_flag_5259},True,2024-09-05 15:26:59
4,OS{auto_flag_7907},True,2024-09-05 15:26:59
1,OS{auto_flag_3323},True,2024-09-05 15:27:59
2,OS{auto_flag_6922},True,2024-09-05 15:27:59
3,OS{auto_flag_9165},True,2024-09-05 15:27:59
4,OS{auto_flag_9192},True,2024-09-05 15:27:59
1,OS{auto_flag_4857},True,2024-09-05 15:28:59
2,OS{auto_flag_3470},True,2024-09-05 15:28:59
3,OS{auto_flag_1667},True,2024-09-05 15:28:59
4,OS{auto_flag_1936},False,2024-09-05 15:28:59
1,OS{auto_flag_1480},False,2024-09-05 15:29:59
2,OS{auto_flag_9976},True,2024-09-05 15:29:59
3,OS{auto_flag_3326},True,2024-09-05 15:29:59
4,OS{auto_flag_8341},False,2024-09-05 15:29:59
1,OS{auto_flag_6484},False,2024-09-05 15:30:36
2,OS{auto_flag_5048},True,2024-09-05 15:30:36
3,OS{auto_flag_9661},True,2024-09-05 15:30:36
4,OS{auto_flag_7722},False,2024-09-05 15:30:36
5,OS{auto_flag_9088},True,2024-09-05 15:30:36
6,OS{auto_flag_7655},False,2024-09-05 15:30:36
7,OS{auto_flag_1469},True,2024-09-05 15:30:36
8,OS{auto_flag_1542},False,2024-09-05 15:30:36
